call_title_date,agg_business_operations,agg_community_engagement,agg_cost_cutting,agg_demand,agg_digital_transformation,agg_employees,agg_liquidity,agg_lockdown,agg_new_product_development,agg_others,agg_supply_chain
"Amalgamated Bank, Q1 2020 Earnings Call, Apr 30, 2020 2020-04-30",0.0097,0.0072,0.0065,0.0549,0.0743,0.0221,0.0469,0.0085,0.0417,0.6827,0.0456
"AngioDynamics, Inc., Q3 2020 Earnings Call, Apr 07, 2020 2020-04-07",0.0525,0.0069,0.0112,0.0127,0.0404,0.0515,0.0548,0.0178,0.0965,0.6196,0.0361
"Bank7 Corp., Q1 2020 Earnings Call, Apr 30, 2020 2020-04-30",0.0301,0.01,0.0142,0.0237,0.0313,0.035,0.0265,0.0293,0.0397,0.6746,0.0857
"Blonder Tongue Laboratories, Inc., Q4 2019 Earnings Call, Apr 09, 2020 2020-04-09",0.0082,0.0106,0.0091,0.063,0.0448,0.0212,0.044,0.007,0.0497,0.7096,0.0327
"Brookline Bancorp, Inc., Q1 2020 Earnings Call, Apr 30, 2020 2020-04-30",0.0132,0.0067,0.0443,0.1863,0.0862,0.0246,0.0146,0.0108,0.0621,0.5084,0.0429
"Data IO Corporation, Q1 2020 Earnings Call, Apr 30, 2020 2020-04-30",0.0301,0.0267,0.0099,0.0427,0.0571,0.087,0.0134,0.0787,0.0564,0.5063,0.0917
"Digital Ally, Inc., Q4 2019 Earnings Call, Apr 06, 2020 2020-04-06",0.0981,0.0147,0.0229,0.0457,0.0485,0.0443,0.0061,0.0146,0.0417,0.5693,0.0941
"Dow Inc., Q1 2020 Earnings Call, Apr 30, 2020 2020-04-30",0.0233,0.1916,0.014,0.0203,0.0468,0.0645,0.056,0.0717,0.0435,0.4079,0.0603
"IRadimed Corporation, Q1 2020 Earnings Call, Apr 30, 2020 2020-04-30",0.0163,0.012,0.0062,0.0161,0.0737,0.0188,0.0112,0.0124,0.0479,0.7218,0.0636
"Jaguar Health, Inc., Q4 2019 Earnings Call, Apr 06, 2020 2020-04-06",0.0419,0.0036,0.0071,0.0113,0.0401,0.0151,0.009,0.0165,0.0289,0.7964,0.03
"Levi Strauss  Co., Q1 2020 Earnings Call, Apr 07, 2020 2020-04-07",0.0399,0.0089,0.0104,0.0599,0.0541,0.0826,0.0619,0.0259,0.094,0.4967,0.0657
"Lindsay Corporation, Q2 2020 Earnings Call, Apr 07, 2020 2020-04-07",0.0167,0.0844,0.0554,0.0264,0.0752,0.0504,0.0246,0.0336,0.0568,0.5084,0.0682
"MGP Ingredients, Inc., Q1 2020 Earnings Call, Apr 30, 2020 2020-04-30",0.0166,0.0954,0.0097,0.0215,0.0825,0.1044,0.0659,0.0267,0.0661,0.4847,0.0265
"MSC Industrial Direct Co., Inc., Q2 2020 Earnings Call, Apr 08, 2020 2020-04-08",0.0755,0.0227,0.0355,0.0262,0.0833,0.0782,0.0086,0.0101,0.0727,0.552,0.0351
"Northern Technologies International Corporation, Q2 2020 Earnings Call, Apr 07, 2020 2020-04-07",0.0375,0.0366,0.0534,0.0159,0.0273,0.1201,0.0247,0.0678,0.0899,0.4782,0.0486
"PAVmed Inc., Q4 2019 Earnings Call, Apr 09, 2020 2020-04-09",0.0383,0.0053,0.0252,0.0428,0.032,0.0193,0.0214,0.0068,0.0707,0.6844,0.0536
"PaySign, Inc., 2019 Earnings Call, Apr 06, 2020 2020-04-06",0.0083,0.006,0.0059,0.0152,0.1999,0.0392,0.0059,0.01,0.056,0.5606,0.0929
"PriceSmart, Inc., Q2 2020 Earnings Call, Apr 09, 2020 2020-04-09",0.0351,0.0188,0.0202,0.0424,0.1032,0.06,0.0155,0.0162,0.0419,0.5835,0.0633
"Pure Cycle Corporation, Q2 2020 Earnings Call, Apr 07, 2020 2020-04-07",0.0675,0.0531,0.0186,0.0663,0.0734,0.0195,0.0081,0.0047,0.0275,0.5984,0.0628
"Richardson Electronics, Ltd., Q3 2020 Earnings Call, Apr 09, 2020 2020-04-09",0.0363,0.0171,0.0219,0.0329,0.078,0.0576,0.0242,0.0183,0.0677,0.6243,0.0216
"RPM International Inc., Q3 2020 Earnings Call, Apr 08, 2020 2020-04-08",0.0715,0.0346,0.0856,0.0511,0.0518,0.0875,0.0134,0.0246,0.1502,0.4024,0.0275
"SeaChange International, Inc., Q4 2020 Earnings Call, Apr 06, 2020 2020-04-06",0.0339,0.0162,0.0076,0.0739,0.0242,0.0243,0.0052,0.0065,0.0477,0.685,0.0756
"Simulations Plus, Inc., Q2 2020 Earnings Call, Apr 09, 2020 2020-04-09",0.0107,0.0071,0.0141,0.0735,0.0506,0.0174,0.02,0.0147,0.0682,0.681,0.0427
"SMART Global Holdings, Inc., Q2 2020 Earnings Call, Apr 07, 2020 2020-04-07",0.0206,0.0196,0.0176,0.0248,0.071,0.0891,0.0109,0.0208,0.1232,0.4908,0.1117
"Syneos Health, Inc., Q1 2020 Earnings Call, Apr 30, 2020 2020-04-30",0.0243,0.0046,0.0094,0.0135,0.0797,0.0224,0.0178,0.0157,0.0683,0.7115,0.0326
"Teligent, Inc., Q4 2019 Earnings Call, Apr 08, 2020 2020-04-08",0.0058,0.0123,0.1057,0.0294,0.0378,0.0191,0.0754,0.0089,0.0213,0.6366,0.0477
"The Greenbrier Companies, Inc., Q2 2020 Earnings Call, Apr 07, 2020 2020-04-07",0.0347,0.0335,0.0307,0.0378,0.0927,0.1347,0.0423,0.0776,0.072,0.3836,0.0605
"The Simply Good Foods Company, Q2 2020 Earnings Call, Apr 06, 2020 2020-04-06",0.0351,0.0207,0.0098,0.011,0.0619,0.0281,0.0309,0.0077,0.24,0.4243,0.1305
"WD-40 Company, Q2 2020 Earnings Call, Apr 09, 2020 2020-04-09",0.028,0.0289,0.0446,0.0133,0.0974,0.095,0.017,0.084,0.0428,0.5288,0.0203
"Workiva Inc., Q1 2020 Earnings Call, Apr 30, 2020 2020-04-30",0.0164,0.0105,0.0084,0.026,0.0552,0.036,0.0124,0.0357,0.0825,0.6302,0.0866
